Generation,Fitness_Moyenne,Fitness_Max,Fitness_Min
1,-126344,-15641,-132209
2,-105018,102757,-132209
3,-84979.4,228163,-132209
4,-48659.2,499709,-132209
5,-5608.63,438391,-132209
6,14368.7,497438,-132205
7,66140.8,547682,-131752
8,72737.3,697719,-130807
9,97999.7,546930,-116153
10,105180,534510,-114127
11,107364,520318,-74942
12,107146,578320,-130950
13,109508,733240,-115935
14,110234,552158,-103708
15,109329,509468,-130890
16,122318,715892,-130922
17,132361,612812,-93030
18,115195,592326,-130895
19,118757,528124,-40165
20,114386,493282,-24807
21,104668,485534,-23924
22,96040,524473,-130911
23,125043,796449,-129852
24,102191,664560,-122182
25,105680,581321,-118297
26,121393,751727,-129678
27,117548,563732,-130886
28,127915,541443,-109530
29,134303,729976,-25274
30,101830,630727,-25283
31,97413.2,539966,-130987
32,142053,730216,-110787
33,124532,567971,-84652
34,107668,530363,-114512
35,114912,559675,-103291
36,117225,579853,-32959
37,103241,528511,-62047
38,117422,606894,-70020
39,108914,593330,-24384
40,112544,669408,-23490
41,119264,546708,-41145
